Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1618848780000,313124.00000000,313289.00000000,312904.00000000,313203.00000000,0.07072000,1618848839999,22140.42361200,44,0.01639300,5131.81915500,0
1618848840000,313203.00000000,313288.00000000,312188.00000000,312188.00000000,0.25108300,1618848899999,78555.72346700,63,0.02590100,8111.01385500,0
1618848900000,312061.00000000,312206.00000000,309802.00000000,311378.00000000,0.28783900,1618848959999,89544.65032500,101,0.17514800,54498.79518800,0
1618848960000,311378.00000000,313308.00000000,310226.00000000,313307.00000000,0.25901000,1618849019999,80811.28665000,93,0.22338300,69731.93536300,0
1618849020000,312678.00000000,313634.00000000,312678.00000000,313047.00000000,0.19708300,1618849079999,61695.63934200,57,0.02128400,6664.85922100,0
1618849080000,313047.00000000,313504.00000000,312856.00000000,313296.00000000,0.26322400,1618849139999,82422.56374900,68,0.16606600,52002.71226200,0
1618849140000,313200.00000000,313200.00000000,312568.00000000,313194.00000000,0.05100600,1618849199999,15960.61954800,40,0.02989400,9354.68915900,0
1618849200000,313124.00000000,313996.00000000,312570.00000000,313896.00000000,0.23521600,1618849259999,73698.78498400,73,0.11543900,36171.26385300,0
1618849260000,313896.00000000,314974.00000000,313501.00000000,313501.00000000,2.29954200,1618849319999,722037.64992200,95,2.21019900,693996.61708200,0
1618849320000,313728.00000000,313813.00000000,313070.00000000,313257.00000000,0.30123200,1618849379999,94398.45311000,89,0.03606100,11306.34389300,0
1618849380000,313419.00000000,313601.00000000,313255.00000000,313416.00000000,0.31028800,1618849439999,97230.44979900,77,0.11906900,37321.59655900,0
1618849440000,313350.00000000,313746.00000000,313112.00000000,313639.00000000,0.31666500,1618849499999,99212.47064400,75,0.10367500,32508.64397200,0
1618849500000,313639.00000000,313639.00000000,312565.00000000,312856.00000000,0.41346400,1618849559999,129352.16498500,121,0.29163000,91200.05753300,0
1618849560000,312840.00000000,313416.00000000,312840.00000000,313248.00000000,0.17951700,1618849619999,56230.32545400,37,0.17376800,54429.47412000,0
1618849620000,313248.00000000,313343.00000000,312893.00000000,312893.00000000,0.22930400,1618849679999,71792.57576300,61,0.04753300,14883.31702500,0
1618849680000,312893.00000000,313091.00000000,312001.00000000,312278.00000000,0.35311500,1618849739999,110412.47154300,87,0.23521900,73560.42915600,0
1618849740000,312463.00000000,313179.00000000,312135.00000000,312757.00000000,0.29209900,1618849799999,91315.76099300,80,0.14506500,45351.26542000,0
1618849800000,312717.00000000,312717.00000000,312037.00000000,312300.00000000,0.19300700,1618849859999,60279.93751000,72,0.05223600,16309.57661600,0
1618849860000,312258.00000000,312655.00000000,312047.00000000,312084.00000000,2.43503200,1618849919999,760122.52151400,95,1.61693200,504675.63202100,0
1618849920000,312084.00000000,312548.00000000,311901.00000000,312548.00000000,0.19448500,1618849979999,60714.59328500,81,0.09870000,30816.35816700,0
1618849980000,312710.00000000,313694.00000000,312608.00000000,313667.00000000,0.25125200,1618850039999,78638.21938600,70,0.10395500,32541.17896400,0
1618850040000,313628.00000000,313806.00000000,313244.00000000,313683.00000000,0.76060000,1618850099999,238493.05134400,70,0.02199600,6897.30269100,0
1618850100000,313683.00000000,313684.00000000,313269.00000000,313269.00000000,0.17682300,1618850159999,55427.13347700,65,0.04499200,14109.55967900,0
1618850160000,313378.00000000,314625.00000000,313377.00000000,314490.00000000,0.33460500,1618850219999,105044.29920800,105,0.24518000,76976.57574000,0
1618850220000,314625.00000000,314625.00000000,313724.00000000,313897.00000000,0.59173000,1618850279999,185832.46074400,92,0.08313900,26131.05287300,0
1618850280000,314001.00000000,314114.00000000,312812.00000000,312980.00000000,0.22586900,1618850339999,70724.59567100,97,0.04356800,13648.02448200,0
1618850340000,312812.00000000,313021.00000000,312218.00000000,313019.00000000,0.23567200,1618850399999,73664.80528700,82,0.08991000,28106.86978300,0
1618850400000,312980.00000000,313166.00000000,312402.00000000,312868.00000000,0.23517800,1618850459999,73546.91149000,85,0.05487500,17161.55842600,0
1618850460000,312867.00000000,312867.00000000,312383.00000000,312867.00000000,0.37402400,1618850519999,116924.30166200,75,0.20831000,65134.23469800,0
1618850520000,312867.00000000,312999.00000000,312304.00000000,312305.00000000,0.64762900,1618850579999,202444.51650300,88,0.11991500,37488.80246000,0
1618850580000,312305.00000000,313017.00000000,312301.00000000,312994.00000000,0.39407900,1618850639999,123194.21916400,83,0.16615500,51958.15378900,0
1618850640000,312921.00000000,313127.00000000,312645.00000000,312873.00000000,0.42506000,1618850699999,132975.17499800,59,0.04918600,15386.95385700,0
1618850700000,312873.00000000,312873.00000000,311777.00000000,311942.00000000,0.75142300,1618850759999,234712.77168100,106,0.02575600,8044.99861700,0
1618850760000,311885.00000000,312296.00000000,311776.00000000,312092.00000000,0.28192700,1618850819999,87968.13087900,90,0.03838200,11979.42148400,0
1618850820000,312217.00000000,312851.00000000,312156.00000000,312762.00000000,0.14935800,1618850879999,46676.35983100,64,0.10792500,33724.03204700,0
1618850880000,312850.00000000,312850.00000000,312296.00000000,312460.00000000,0.73526200,1618850939999,229836.19811800,76,0.25968200,81170.92738100,0
1618850940000,312464.00000000,312464.00000000,311757.00000000,311909.00000000,0.25427100,1618850999999,79351.48151100,66,0.01800300,5616.30262400,0
1618851000000,311909.00000000,311965.00000000,311444.00000000,311655.00000000,0.84712800,1618851059999,264036.96157700,102,0.39927300,124493.66400800,0
1618851060000,311655.00000000,312419.00000000,311655.00000000,311954.00000000,0.33647700,1618851119999,104989.24773600,52,0.23665200,73821.83422800,0
1618851120000,311799.00000000,311799.00000000,311000.00000000,311152.00000000,0.73556300,1618851179999,229213.23428200,87,0.36347600,113260.73594300,0
1618851180000,311144.00000000,311262.00000000,311000.00000000,311000.00000000,0.37829000,1618851239999,117652.90379100,58,0.04214800,13111.05444200,0
1618851240000,311000.00000000,311321.00000000,310739.00000000,310766.00000000,0.33935800,1618851299999,105532.53562200,62,0.02490200,7745.30825000,0
1618851300000,310739.00000000,310766.00000000,310104.00000000,310104.00000000,0.09476500,1618851359999,29425.64883700,54,0.01673900,5195.58403700,0
1618851360000,310104.00000000,310377.00000000,310104.00000000,310377.00000000,0.13674300,1618851419999,42432.75553600,72,0.12762500,39604.05689600,0
1618851420000,310377.00000000,311101.00000000,310251.00000000,310881.00000000,0.45655600,1618851479999,141756.18729800,81,0.14563500,45252.44794700,0
