Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1617477780000,339149.00000000,339380.00000000,338954.00000000,339347.00000000,0.03761700,1617477839999,12756.69314600,13,0.03101800,10519.91438500,0
1617477840000,339347.00000000,339347.00000000,338955.00000000,339347.00000000,0.01659700,1617477899999,5628.20828700,15,0.00649000,2202.36085200,0
1617477900000,339346.00000000,339346.00000000,339345.00000000,339345.00000000,0.00291600,1617477959999,989.53100100,7,0.00291600,989.53100100,0
1617477960000,339346.00000000,339346.00000000,338956.00000000,339346.00000000,0.00104400,1617478019999,354.23315400,9,0.00093100,315.93112600,0
1617478020000,339346.00000000,339346.00000000,338756.00000000,338756.00000000,0.04424900,1617478079999,15004.90427200,30,0.00778400,2641.44687000,0
1617478080000,339150.00000000,339191.00000000,338809.00000000,339183.00000000,0.01823900,1617478139999,6186.29129700,9,0.01774100,6017.56009500,0
1617478140000,338953.00000000,339150.00000000,338773.00000000,339150.00000000,0.00423600,1617478199999,1435.43502600,7,0.00102900,348.98461500,0
1617478200000,338862.00000000,339149.00000000,338503.00000000,338924.00000000,0.03875300,1617478259999,13126.48760600,31,0.00863800,2928.81258600,0
1617478260000,338949.00000000,338949.00000000,338591.00000000,338902.00000000,0.00179300,1617478319999,607.69000400,5,0.00167700,568.40360800,0
1617478320000,338557.00000000,338901.00000000,338117.00000000,338117.00000000,0.06784800,1617478379999,22960.33460100,36,0.04090900,13844.37370600,0
1617478380000,338296.00000000,338356.00000000,338000.00000000,338356.00000000,0.00974800,1617478439999,3295.00886000,11,0.00892900,3018.09634000,0
1617478440000,338224.00000000,338357.00000000,337964.00000000,338134.00000000,0.01500000,1617478499999,5071.79562400,24,0.00932100,3152.47877600,0
1617478500000,337838.00000000,338134.00000000,337175.00000000,337228.00000000,0.21258000,1617478559999,71734.89312500,50,0.01889600,6382.86434300,0
1617478560000,337569.00000000,338133.00000000,337569.00000000,338130.00000000,0.05208500,1617478619999,17604.83424200,32,0.05208500,17604.83424200,0
1617478620000,338130.00000000,338130.00000000,338128.00000000,338128.00000000,0.00128000,1617478679999,432.80551400,11,0.00128000,432.80551400,0
1617478680000,337767.00000000,337979.00000000,337450.00000000,337755.00000000,0.00719700,1617478739999,2432.27850700,9,0.00710800,2402.23237700,0
1617478740000,337962.00000000,337962.00000000,337570.00000000,337754.00000000,0.03113100,1617478799999,10516.97681400,20,0.02177600,7359.00416000,0
1617478800000,337754.00000000,337959.00000000,337572.00000000,337955.00000000,0.06550300,1617478859999,22116.17152300,27,0.01186600,4009.78160600,0
1617478860000,337960.00000000,337960.00000000,337572.00000000,337958.00000000,0.02018100,1617478919999,6819.64459800,17,0.01840200,6219.10401000,0
1617478920000,337958.00000000,338130.00000000,337958.00000000,338127.00000000,0.03087500,1617478979999,10435.03999000,15,0.03060700,10344.46135000,0
1617478980000,337980.00000000,338127.00000000,337903.00000000,338125.00000000,0.01420000,1617479039999,4799.90515900,14,0.00750000,2535.93835000,0
1617479040000,338125.00000000,338125.00000000,337574.00000000,337899.00000000,0.01677600,1617479099999,5669.75096100,10,0.01624900,5491.82294600,0
1617479100000,337569.00000000,337900.00000000,337448.00000000,337456.00000000,0.01285700,1617479159999,4339.73127500,12,0.00065000,219.61890800,0
1617479160000,337767.00000000,337950.00000000,337767.00000000,337947.00000000,0.01970300,1617479219999,6658.47915200,15,0.01862000,6292.48058100,0
